Customer ID,Total_Sales,Total_Profit,Total_Quantity,Total_Orders,Average_Order_Value,Profit_Margin,Customer_Segment
CUST1001,9289.91,1835.71,5,4,2322.4775,19.7602560197031,Medium Value
CUST1002,6436.66,1491.26,7,5,1287.3319999999999,23.168226999717245,Low Value
CUST1003,25008.77,4855.4400000000005,12,9,2778.7522222222224,19.41494923580808,High Value
CUST1004,9026.36,1823.69,11,6,1504.3933333333334,20.20404681399811,Low Value
CUST1005,9130.53,2275.23,4,3,3043.51,24.91892584548761,Low Value
CUST1006,20871.97,3912.17,14,6,3478.661666666667,18.743654767614174,High Value
CUST1007,1876.05,472.0,4,1,1876.05,25.159244156605638,Very Low Value
CUST1008,13527.519999999999,2156.48,6,3,4509.173333333333,15.941429027641432,Medium Value
CUST1009,15552.66,2766.99,7,4,3888.165,17.791104544174434,High Value
CUST1010,18166.67,3891.21,17,8,2270.83375,21.41950065697236,High Value
CUST1011,8824.9,1737.58,7,5,1764.98,19.68951489535292,Low Value
CUST1012,14695.810000000001,3946.31,13,5,2939.1620000000003,26.853300362484273,High Value
CUST1013,11614.4,2691.2799999999997,15,7,1659.2,23.17192450750792,Medium Value
CUST1014,3292.71,609.02,2,2,1646.355,18.49601088465124,Very Low Value
CUST1015,7758.22,1611.44,9,4,1939.555,20.7707438046356,Low Value
CUST1016,12199.85,2398.34,8,5,2439.9700000000003,19.658766296306922,Medium Value
CUST1017,14810.05,3488.22,12,6,2468.3416666666667,23.55306025300387,High Value
CUST1018,3008.29,626.62,3,2,1504.145,20.829773725272496,Very Low Value
CUST1019,10702.68,2581.27,7,4,2675.67,24.117977927023883,Medium Value
CUST1020,13297.69,3360.8900000000003,10,5,2659.538,25.27423936037011,Medium Value
CUST1021,9299.380000000001,2579.9700000000003,8,4,2324.8450000000003,27.7434624673903,Medium Value
CUST1022,8802.31,2345.95,6,5,1760.462,26.65152670151358,Low Value
CUST1023,5726.31,1303.72,4,2,2863.155,22.76719213594793,Low Value
CUST1024,9720.15,1624.33,6,3,3240.0499999999997,16.710956106644446,Medium Value
CUST1025,12415.11,2590.44,9,6,2069.185,20.865219881257595,Medium Value
CUST1026,16771.66,3672.46,13,7,2395.9514285714286,21.89681880028572,High Value
CUST1027,20009.54,3793.0,9,5,4001.9080000000004,18.95595800803017,High Value
CUST1028,16281.15,3220.27,11,5,3256.23,19.77913108103543,High Value
CUST1029,19290.25,4232.57,11,6,3215.0416666666665,21.941498943766927,High Value
CUST1030,3171.07,573.95,4,3,1057.0233333333333,18.0995689152242,Very Low Value
CUST1031,13391.279999999999,3608.05,14,5,2678.256,26.943279507261447,Medium Value
CUST1032,1554.88,359.15,2,1,1554.88,23.09824552377032,Very Low Value
CUST1033,2836.42,839.36,6,2,1418.21,29.592232462047228,Very Low Value
CUST1034,692.09,223.55,1,1,692.09,32.300712335100926,Very Low Value
CUST1035,4106.01,1052.5,4,4,1026.5025,25.63315724998234,Very Low Value
CUST1036,5320.34,1417.21,9,5,1064.068,26.6375833123447,Low Value
CUST1037,16155.529999999999,4012.33,13,6,2692.588333333333,24.835644513055282,High Value
CUST1038,13098.76,2258.42,9,5,2619.752,17.241479346136583,Medium Value
CUST1039,2251.54,544.31,3,3,750.5133333333333,24.175009104879326,Very Low Value
CUST1040,16214.269999999999,3066.06,16,6,2702.378333333333,18.909639471897286,High Value
CUST1041,11875.150000000001,2192.57,8,3,3958.3833333333337,18.463514145084485,Medium Value
CUST1042,2591.56,644.11,3,3,863.8533333333334,24.854141906805168,Very Low Value
CUST1043,16691.06,3092.0,11,7,2384.437142857143,18.52488697542277,High Value
CUST1044,4381.68,909.29,3,3,1460.5600000000002,20.752085957897425,Very Low Value
CUST1045,6949.040000000001,1440.7800000000002,4,3,2316.346666666667,20.733511391501562,Low Value
CUST1046,1311.4,345.41999999999996,2,2,655.7,26.339789537898422,Very Low Value
CUST1047,15341.16,3794.17,14,6,2556.86,24.73196290241416,High Value
CUST1048,2245.75,712.34,6,3,748.5833333333334,31.71947011020817,Very Low Value
CUST1049,3212.26,429.5,3,1,3212.26,13.370648702159848,Very Low Value
CUST1050,4992.47,1342.62,5,2,2496.235,26.89290070846695,Very Low Value
CUST1051,9771.63,2300.43,10,5,1954.3259999999998,23.54192698659282,Medium Value
CUST1052,6397.59,1786.3700000000001,7,4,1599.3975,27.92254583366549,Low Value
CUST1053,3977.77,635.36,3,3,1325.9233333333334,15.972768661838167,Very Low Value
CUST1054,5893.29,1633.34,6,5,1178.658,27.71524903746464,Low Value
CUST1055,8059.77,2152.31,7,3,2686.59,26.70436004997661,Low Value
CUST1056,2291.12,579.63,3,3,763.7066666666666,25.29898041132721,Very Low Value
CUST1057,21729.54,4728.14,13,5,4345.908,21.75904321950672,High Value
CUST1058,4578.34,1202.3,3,3,1526.1133333333335,26.260609740648356,Very Low Value
CUST1059,9847.43,2281.41,8,4,2461.8575,23.16756757854587,Medium Value
CUST1060,4412.59,1158.33,7,3,1470.8633333333335,26.250569393485456,Very Low Value
CUST1061,3012.58,814.95,7,3,1004.1933333333333,27.05156377589973,Very Low Value
CUST1062,7771.950000000001,1700.6799999999998,5,3,2590.65,21.882281795431002,Low Value
CUST1063,23402.12,5369.5,18,6,3900.353333333333,22.944502463879342,High Value
CUST1064,14350.64,2945.04,9,4,3587.66,20.522011561853688,High Value
CUST1065,21249.45,5053.1,11,5,4249.89,23.779909597660176,High Value
CUST1066,14101.84,2846.92,5,4,3525.46,20.188287485888367,Medium Value
CUST1067,14248.220000000001,2129.5099999999998,7,3,4749.406666666667,14.945796738118863,Medium Value
CUST1068,13098.78,3122.37,12,7,1871.2542857142857,23.837105440353984,Medium Value
CUST1069,7952.57,1501.72,8,6,1325.4283333333333,18.88345528552405,Low Value
CUST1070,5565.92,1073.25,5,3,1855.3066666666666,19.282526518527035,Low Value
CUST1071,8005.76,1783.08,8,6,1334.2933333333333,22.272463826045247,Low Value
CUST1072,24324.63,4864.32,20,8,3040.57875,19.997508697974027,High Value
CUST1073,10508.41,2328.97,6,3,3502.8033333333333,22.162915226946797,Medium Value
CUST1074,2309.72,449.66,2,1,2309.72,19.46816064284849,Very Low Value
CUST1075,3623.4300000000003,991.95,5,3,1207.8100000000002,27.37599456868216,Very Low Value
CUST1076,6635.28,1487.15,2,2,3317.64,22.412769317948904,Low Value
CUST1077,5662.0,1422.47,5,4,1415.5,25.12310137760509,Low Value
CUST1078,8280.31,2055.24,10,4,2070.0775,24.82080984890662,Low Value
CUST1079,26942.32,5931.12,13,7,3848.902857142857,22.014139836509997,High Value
CUST1080,8893.9,2231.33,5,2,4446.95,25.088318960186196,Low Value
CUST1081,4331.53,892.48,1,1,4331.53,20.604266852590193,Very Low Value
CUST1082,14209.91,3313.89,8,5,2841.982,23.320978106124528,Medium Value
CUST1083,12980.63,2674.17,6,3,4326.876666666666,20.601234300646425,Medium Value
CUST1084,10734.94,2405.66,9,5,2146.9880000000003,22.409626881938788,Medium Value
CUST1085,3476.73,1128.86,4,2,1738.365,32.469015425414106,Very Low Value
CUST1086,4363.18,1232.22,8,4,1090.795,28.24132857227985,Very Low Value
CUST1087,9466.400000000001,1841.38,9,5,1893.2800000000002,19.45174511958083,Medium Value
CUST1088,12930.41,3275.48,10,4,3232.6025,25.331602014166606,Medium Value
CUST1089,3678.85,1004.49,3,2,1839.425,27.304456555717138,Very Low Value
CUST1090,929.84,217.96,2,1,929.84,23.440591929794373,Very Low Value
CUST1091,1560.49,330.93,2,1,1560.49,21.20680042807067,Very Low Value
CUST1092,8285.02,1197.7,8,3,2761.6733333333336,14.456211330811513,Low Value
CUST1093,11034.61,2515.02,7,4,2758.6525,22.79210592852851,Medium Value
CUST1094,10214.94,2699.85,8,4,2553.735,26.430404877561685,Medium Value
CUST1095,27477.020000000004,5853.35,10,5,5495.404,21.30271041037201,High Value
CUST1096,9770.41,1639.27,9,5,1954.0819999999999,16.777903895537648,Medium Value
CUST1097,18450.72,3832.17,13,6,3075.1200000000003,20.769758578527018,High Value
CUST1098,2414.18,586.45,6,3,804.7266666666666,24.291892071013763,Very Low Value
CUST1099,4102.37,1016.89,5,3,1367.4566666666667,24.78786652593501,Very Low Value
CUST1100,17425.95,3500.26,8,6,2904.3250000000003,20.086480220590555,High Value
CUST1101,10913.26,2690.69,12,8,1364.1575,24.655235924004376,Medium Value
CUST1102,1555.9,405.24,3,1,1555.9,26.045375666816632,Very Low Value
CUST1103,8170.99,1801.46,5,4,2042.7475,22.047022453827505,Low Value
CUST1104,3242.4300000000003,870.17,5,3,1080.8100000000002,26.83697103715423,Very Low Value
CUST1105,14775.91,3822.4899999999993,9,5,2955.182,25.869743386363343,High Value
CUST1107,20854.05,4179.83,14,9,2317.116666666667,20.04325298922751,High Value
CUST1108,461.96,115.67,1,1,461.96,25.03896441250325,Very Low Value
CUST1109,5963.92,1332.15,5,3,1987.9733333333334,22.33681873666984,Low Value
CUST1110,7160.11,2075.23,3,1,7160.11,28.983213945037157,Low Value
CUST1111,3522.8199999999997,951.19,3,2,1761.4099999999999,27.000811849597767,Very Low Value
CUST1112,12055.26,2746.33,11,7,1722.18,22.781176017771497,Medium Value
CUST1113,9311.34,2015.83,6,5,1862.268,21.649193349184973,Medium Value
CUST1114,2478.08,775.75,4,3,826.0266666666666,31.30447766012397,Very Low Value
CUST1115,6084.15,1345.74,4,2,3042.075,22.118784053647595,Low Value
CUST1116,9523.36,2711.14,10,4,2380.84,28.468313704406846,Medium Value
CUST1117,7739.06,1918.38,11,6,1289.8433333333335,24.78828178099149,Low Value
CUST1118,2993.24,698.75,2,2,1496.62,23.344269086341225,Very Low Value
CUST1119,18997.1,3975.51,18,9,2110.788888888889,20.926930952619085,High Value
CUST1120,4044.67,793.14,2,1,4044.67,19.609510788271972,Very Low Value
CUST1121,4888.81,1175.14,6,3,1629.6033333333335,24.0373424207527,Very Low Value
CUST1122,21476.78,4830.5,14,7,3068.1114285714284,22.49173293203171,High Value
CUST1123,3409.28,895.25,4,3,1136.4266666666667,26.259210155810024,Very Low Value
CUST1124,4189.82,898.19,4,3,1396.6066666666666,21.43743645311732,Very Low Value
CUST1125,17753.12,3045.92,10,4,4438.28,17.157096893391135,High Value
CUST1126,8530.630000000001,1811.14,9,7,1218.6614285714288,21.231022796675038,Low Value
CUST1127,3169.5299999999997,523.49,2,2,1584.7649999999999,16.516328919429696,Very Low Value
CUST1128,2623.2400000000002,670.23,4,4,655.8100000000001,25.549701895366034,Very Low Value
CUST1129,9645.3,2586.88,12,7,1377.8999999999999,26.82010927602045,Medium Value
CUST1130,12269.3,2335.68,9,5,2453.8599999999997,19.036782864548098,Medium Value
CUST1131,5153.16,816.39,2,2,2576.58,15.842512167291526,Low Value
CUST1132,25911.030000000002,4968.48,13,7,3701.5757142857146,19.175154364762804,High Value
CUST1133,21525.56,5316.05,11,6,3587.5933333333337,24.696453890165923,High Value
CUST1134,11162.060000000001,2763.11,10,5,2232.4120000000003,24.754480803722608,Medium Value
CUST1135,13490.39,2721.6,9,5,2698.078,20.174361156349075,Medium Value
CUST1136,3970.24,1011.07,6,3,1323.4133333333332,25.466218666881602,Very Low Value
CUST1137,3970.12,1035.06,5,3,1323.3733333333332,26.071252254339917,Very Low Value
CUST1138,14272.28,3132.12,11,7,2038.8971428571429,21.94547752706645,High Value
CUST1139,5457.62,1514.95,8,4,1364.405,27.758436827774744,Low Value
CUST1140,14608.81,3596.88,16,8,1826.10125,24.621307279648377,High Value
CUST1141,5025.8,1291.88,4,1,5025.8,25.70496239404672,Very Low Value
CUST1142,3976.39,1116.69,3,2,1988.195,28.083009966326244,Very Low Value
CUST1143,9880.95,2617.8,8,5,1976.19,26.493403974314212,Medium Value
CUST1144,14981.35,2612.27,9,7,2140.192857142857,17.436813104293,High Value
CUST1145,6568.49,1023.61,4,2,3284.245,15.583642511444792,Low Value
CUST1146,3259.75,964.71,4,3,1086.5833333333333,29.59460081294578,Very Low Value
CUST1147,8415.04,1835.63,6,3,2805.013333333334,21.81368121838993,Low Value
CUST1148,7742.330000000001,1996.49,9,4,1935.5825000000002,25.786681787007264,Low Value
CUST1149,787.79,224.4,2,2,393.895,28.484748473577987,Very Low Value
CUST1150,2514.05,380.69,3,1,2514.05,15.142499154750302,Very Low Value
CUST1151,4967.97,1157.48,4,2,2483.985,23.298852448786928,Very Low Value
CUST1152,6631.04,1040.3,6,3,2210.346666666667,15.688338480841619,Low Value
CUST1153,14849.39,3001.37,10,5,2969.8779999999997,20.212076051608854,High Value
CUST1154,15956.17,3482.91,6,4,3989.0425,21.82798252964214,High Value
CUST1155,14861.05,3259.09,12,8,1857.63125,21.93041541479236,High Value
CUST1156,21049.51,4297.83,15,8,2631.18875,20.417719937423723,High Value
CUST1157,5519.19,1303.43,6,3,1839.7299999999998,23.616327758239887,Low Value
CUST1158,15917.53,4049.83,11,7,2273.9328571428573,25.442578088434576,High Value
CUST1159,4362.43,791.01,2,2,2181.215,18.132325332440864,Very Low Value
CUST1160,15660.58,3235.56,10,6,2610.096666666667,20.6605374769006,High Value
CUST1161,11863.78,2576.07,6,3,3954.5933333333337,21.71373710571167,Medium Value
CUST1162,12816.58,2757.21,6,4,3204.145,21.51283727796339,Medium Value
CUST1163,1182.94,228.28,1,1,1182.94,19.297682046426697,Very Low Value
CUST1164,20854.870000000003,4401.26,13,6,3475.811666666667,21.10423128986179,High Value
CUST1165,9741.58,2377.6099999999997,8,6,1623.5966666666666,24.406821070093347,Medium Value
CUST1166,8772.45,2104.63,8,5,1754.4900000000002,23.991359312392774,Low Value
CUST1167,1649.05,260.14,1,1,1649.05,15.77514326430369,Very Low Value
CUST1168,2766.71,664.39,3,2,1383.355,24.013720267031964,Very Low Value
CUST1169,18052.370000000003,3755.17,10,5,3610.4740000000006,20.801534646143413,High Value
CUST1170,1551.3,253.0,2,2,775.65,16.3089022110488,Very Low Value
CUST1171,19116.97,4562.59,14,6,3186.161666666667,23.8667006329978,High Value
CUST1172,21119.85,3941.39,20,9,2346.6499999999996,18.662017012431434,High Value
CUST1173,6255.570000000001,972.26,3,3,2085.19,15.542308694491465,Low Value
CUST1174,9966.47,2052.24,8,5,1993.2939999999999,20.59144310874362,Medium Value
CUST1175,25363.79,4887.95,15,7,3623.3985714285714,19.271370721804587,High Value
CUST1176,7740.709999999999,1116.83,4,2,3870.3549999999996,14.428004666238628,Low Value
CUST1177,23903.47,3936.21,14,5,4780.694,16.467107076922304,High Value
CUST1178,9810.369999999999,2671.27,11,6,1635.0616666666665,27.229044368357158,Medium Value
CUST1179,10693.1,2224.57,10,5,2138.62,20.803789359493503,Medium Value
CUST1180,22351.56,5002.93,10,6,3725.26,22.382911975718923,High Value
CUST1181,19129.6,3516.2799999999997,5,3,6376.533333333333,18.381356641017064,High Value
CUST1182,11712.76,2505.95,9,5,2342.552,21.39504267141135,Medium Value
CUST1183,14829.63,2499.6099999999997,9,4,3707.4075,16.855511567045163,High Value
CUST1184,15116.3,3171.05,10,6,2519.383333333333,20.97768633858815,High Value
CUST1185,6477.47,1279.28,5,3,2159.1566666666668,19.74968622008284,Low Value
CUST1186,17133.65,3209.7,12,7,2447.664285714286,18.733311349303854,High Value
CUST1187,820.56,125.08,1,1,820.56,15.243248513210492,Very Low Value
CUST1188,2952.51,419.66,1,1,2952.51,14.213669047691624,Very Low Value
CUST1189,6666.349999999999,1202.8,3,2,3333.1749999999997,18.042857035709197,Low Value
CUST1190,15615.77,3067.08,7,3,5205.256666666667,19.640914280884004,High Value
CUST1191,17320.84,3843.8500000000004,10,5,3464.168,22.192053041307467,High Value
CUST1192,11777.41,2099.16,10,4,2944.3525,17.82361317131695,Medium Value
CUST1193,5018.28,1326.43,4,4,1254.57,26.431964736921813,Very Low Value
CUST1194,6999.32,1680.1599999999999,6,5,1399.864,24.004617591423166,Low Value
CUST1195,9602.47,1871.26,5,2,4801.235,19.487277752494933,Medium Value
CUST1196,18990.440000000002,4308.62,15,6,3165.0733333333337,22.68836319748252,High Value
CUST1197,3002.33,810.55,5,1,3002.33,26.99736537955521,Very Low Value
CUST1198,1923.85,667.09,3,2,961.925,34.674740754216806,Very Low Value
CUST1200,11403.07,3195.49,10,4,2850.7675,28.023067472180735,Medium Value
CUST1201,8854.18,1708.56,9,5,1770.836,19.296648588576243,Low Value
CUST1202,21770.96,4785.7,14,6,3628.4933333333333,21.98203478395073,High Value
CUST1203,17847.02,4216.82,14,8,2230.8775,23.627586005955052,High Value
CUST1204,10483.24,2492.81,6,5,2096.648,23.779003437868447,Medium Value
CUST1205,10642.26,2055.54,8,5,2128.452,19.3148823652119,Medium Value
CUST1206,2837.7200000000003,805.93,5,4,709.4300000000001,28.400617397065247,Very Low Value
CUST1207,19629.39,3597.32,8,6,3271.565,18.326193529192707,High Value
CUST1208,2085.52,308.48,2,1,2085.52,14.79151482603859,Very Low Value
CUST1209,3918.8599999999997,1166.1499999999999,4,3,1306.2866666666666,29.757378421275575,Very Low Value
CUST1210,15225.51,3751.3900000000003,17,9,1691.7233333333334,24.638846252112412,High Value
CUST1211,5979.49,1659.93,7,4,1494.8725,27.760394281117623,Low Value
CUST1212,7529.049999999999,1901.46,7,3,2509.683333333333,25.25497904782144,Low Value
CUST1213,13278.78,3802.56,14,7,1896.9685714285715,28.636365690221538,Medium Value
CUST1214,10769.68,2161.54,9,7,1538.5257142857142,20.070605626165307,Medium Value
CUST1215,17398.58,3423.25,13,4,4349.645,19.675456272868246,High Value
CUST1216,10628.18,2785.3900000000003,9,3,3542.726666666667,26.20759151613917,Medium Value
CUST1217,21100.43,3520.35,11,7,3014.347142857143,16.683783221479374,High Value
CUST1218,5915.49,1445.84,6,4,1478.8725,24.44159317317754,Low Value
CUST1219,11037.17,1796.6100000000001,4,3,3679.056666666667,16.277813968616954,Medium Value
CUST1220,9365.74,2710.89,9,5,1873.148,28.944749694097847,Medium Value
CUST1221,34387.229999999996,7103.41,23,11,3126.111818181818,20.657116028246534,High Value
CUST1222,14403.21,2961.56,13,7,2057.6014285714286,20.561805319786355,High Value
CUST1223,5225.09,1057.67,6,3,1741.6966666666667,20.242139369848175,Low Value
CUST1225,7720.85,1658.7,11,4,1930.2125,21.48338589663055,Low Value
CUST1226,5422.7,1126.37,4,3,1807.5666666666666,20.771386947461597,Low Value
CUST1227,3298.55,661.71,5,3,1099.5166666666667,20.060632702247958,Very Low Value
CUST1228,14532.42,3082.43,12,6,2422.07,21.21071370081514,High Value
CUST1229,1139.49,323.51,2,1,1139.49,28.390771309972003,Very Low Value
CUST1230,7440.13,1881.08,7,5,1488.026,25.282891562378612,Low Value
CUST1231,5089.6,1236.43,3,2,2544.8,24.293264696636278,Low Value
CUST1232,1557.28,295.37,1,1,1557.28,18.967045104284395,Very Low Value
CUST1233,9341.86,2161.37,7,6,1556.9766666666667,23.136398961234697,Medium Value
CUST1234,21376.66,4563.2,10,6,3562.7766666666666,21.346646295539156,High Value
CUST1235,3125.97,769.63,3,3,1041.99,24.62051779127759,Very Low Value
CUST1236,3394.3199999999997,607.3,3,3,1131.4399999999998,17.89165429305428,Very Low Value
CUST1237,15391.5,3208.88,12,5,3078.3,20.84839034532047,High Value
CUST1238,2260.29,571.4,3,1,2260.29,25.27994195435099,Very Low Value
CUST1239,11373.08,2241.14,10,6,1895.5133333333333,19.705655811794166,Medium Value
CUST1240,3803.38,785.04,4,3,1267.7933333333333,20.640588108471935,Very Low Value
CUST1241,21667.07,5615.42,14,8,2708.38375,25.91684062496683,High Value
CUST1242,9755.81,1808.72,6,4,2438.9525,18.539926464332538,Medium Value
CUST1243,6104.91,936.49,3,2,3052.455,15.339947681456401,Low Value
CUST1244,474.72,157.2,1,1,474.72,33.11425682507583,Very Low Value
CUST1245,11109.5,2593.91,9,6,1851.5833333333333,23.3485755434538,Medium Value
CUST1246,13894.59,2466.34,10,5,2778.918,17.750361831475416,Medium Value
CUST1247,18887.95,4383.92,11,6,3147.991666666667,23.210141915877582,High Value
CUST1248,10998.52,3308.99,12,4,2749.63,30.085775177023816,Medium Value
CUST1249,6011.58,1409.37,8,3,2003.86,23.444252592496483,Low Value
CUST1250,9831.29,2368.3900000000003,14,4,2457.8225,24.09032792237845,Medium Value
CUST1251,4891.0,1228.17,4,1,4891.0,25.110815784093234,Very Low Value
