Product,Total_Quantity,Total_Sales,Total_Profit,Number_of_Orders,Profit_Margin
Air Fryer,380,1716837.26,349118.76,213,20.334994360502172
Smart Watch,426,1276183.74,200464.07,233,15.70808839799197
Mixer Grinder,372,1168745.05,232903.88,216,19.9276891055068
Running Shoes,441,925600.89,257331.44,243,27.801554944485847
Wireless Headphones,403,911773.39,145482.37,219,15.95597893024713
Bluetooth Speaker,478,777281.18,123046.69,253,15.830396150849813
Denim Jeans,412,565339.48,157105.46,230,27.789578750098965
Electric Kettle,386,554894.77,110360.57,215,19.88855832971718
USB-C Hub,456,533095.07,85365.92,259,16.01326382553116
Backpack,394,500542.32,139870.44,222,27.94377905948092
Casual Shirt,414,452104.9,125468.53,233,27.75208364253517
Non-Stick Pan,373,440928.58,88046.46,204,19.968417560957377
Power Bank,435,399174.43,63726.05,231,15.96446195213456
Perfume,272,325458.79,102963.79000000001,156,31.63650611495238
Storage Container Set,361,293337.05,58214.65,204,19.845651955659882
Cotton T-Shirt,435,272283.99,75920.82,217,27.88295411713337
Machine Learning Basics,310,249702.45,62367.22,174,24.976615167372206
Data Analytics Guide,295,200800.3,50357.45,160,25.078373886891605
Sunscreen,250,159459.29,50775.29,142,31.84216485599553
Python Programming,285,154156.25,37941.52,155,24.612378674234744
Business Management,338,149671.16,38014.51,194,25.398687362348234
Moisturizer,252,136247.98,43944.31,137,32.25318276278297
Fiction Novel,344,123942.08,30809.12,187,24.85767545614855
Shampoo,254,115597.12,37507.64,142,32.44686372809288
Face Wash,278,100143.59,32001.63,158,31.955744746119052
