Customer ID,Total_Sales,Total_Orders,Total_Profit,Total_Quantity,Customer Segment
CUST1001,9289.91,4,1835.71,5,Medium Value
CUST1002,6436.66,5,1491.26,7,Medium Value
CUST1003,25008.77,9,4855.4400000000005,12,High Value
CUST1004,9026.36,6,1823.69,11,Medium Value
CUST1005,9130.53,3,2275.23,4,Medium Value
CUST1006,20871.97,6,3912.17,14,High Value
CUST1007,1876.05,1,472.0,4,Low Value
CUST1008,13527.519999999999,3,2156.48,6,Medium Value
CUST1009,15552.66,4,2766.99,7,High Value
CUST1010,18166.67,8,3891.21,17,High Value
CUST1011,8824.9,5,1737.58,7,Medium Value
CUST1012,14695.810000000001,5,3946.31,13,High Value
CUST1013,11614.4,7,2691.2799999999997,15,Medium Value
CUST1014,3292.71,2,609.02,2,Low Value
CUST1015,7758.22,4,1611.44,9,Medium Value
CUST1016,12199.85,5,2398.34,8,Medium Value
CUST1017,14810.05,6,3488.22,12,High Value
CUST1018,3008.29,2,626.62,3,Low Value
CUST1019,10702.68,4,2581.27,7,Medium Value
CUST1020,13297.69,5,3360.8900000000003,10,Medium Value
CUST1021,9299.380000000001,4,2579.9700000000003,8,Medium Value
CUST1022,8802.31,5,2345.95,6,Medium Value
CUST1023,5726.31,2,1303.72,4,Medium Value
CUST1024,9720.15,3,1624.33,6,Medium Value
CUST1025,12415.11,6,2590.44,9,Medium Value
CUST1026,16771.66,7,3672.46,13,High Value
CUST1027,20009.54,5,3793.0,9,High Value
CUST1028,16281.15,5,3220.27,11,High Value
CUST1029,19290.25,6,4232.57,11,High Value
CUST1030,3171.07,3,573.95,4,Low Value
CUST1031,13391.279999999999,5,3608.05,14,Medium Value
CUST1032,1554.88,1,359.15,2,Low Value
CUST1033,2836.42,2,839.36,6,Low Value
CUST1034,692.09,1,223.55,1,Low Value
CUST1035,4106.01,4,1052.5,4,Low Value
CUST1036,5320.34,5,1417.21,9,Medium Value
CUST1037,16155.529999999999,6,4012.33,13,High Value
CUST1038,13098.76,5,2258.42,9,Medium Value
CUST1039,2251.54,3,544.31,3,Low Value
CUST1040,16214.269999999999,6,3066.06,16,High Value
CUST1041,11875.150000000001,3,2192.57,8,Medium Value
CUST1042,2591.56,3,644.11,3,Low Value
CUST1043,16691.06,7,3092.0,11,High Value
CUST1044,4381.68,3,909.29,3,Low Value
CUST1045,6949.040000000001,3,1440.7800000000002,4,Medium Value
CUST1046,1311.4,2,345.41999999999996,2,Low Value
CUST1047,15341.16,6,3794.17,14,High Value
